,precision,recall,f1-score,support
CARDINAL,1.0,1.0,1.0,3055.0
DATE,1.0,1.0,1.0,1479.0
EVENT,1.0,1.0,1.0,77.0
FAC,1.0,1.0,1.0,23.0
GPE,1.0,1.0,1.0,878.0
LANGUAGE,1.0,1.0,1.0,34.0
LAW,1.0,1.0,1.0,33.0
LOC,1.0,1.0,1.0,14.0
MONEY,1.0,1.0,1.0,144.0
NORP,1.0,1.0,1.0,291.0
ORDINAL,1.0,1.0,1.0,240.0
ORG,1.0,1.0,1.0,2224.0
PERCENT,1.0,1.0,1.0,76.0
PERSON,1.0,1.0,1.0,2743.0
PRODUCT,1.0,1.0,1.0,140.0
QUANTITY,1.0,1.0,1.0,57.0
TIME,1.0,1.0,1.0,11.0
WORK_OF_ART,1.0,1.0,1.0,64.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,11583.0
weighted avg,1.0,1.0,1.0,11583.0
